institution,location,website
Alabama A & M University,Alabama,
Alabama State University,Alabama,
J.F. Drake State Community and Technical College,Alabama,
Lawson State Community College,Alabama,
Miles College,Alabama,
Oakwood University,Alabama,
Shelton State Community College,Alabama,
Stillman College,Alabama,
Talladega College,Alabama,
Trenholm State Community College,Alabama,
Tuskegee University,Alabama,
Arkansas Baptist College,Arkansas,
Philander Smith College,Arkansas,
Shorter College,Arkansas,
University of Arkansas at Pine Bluff,Arkansas,
Howard University,DC,
University of the District of Columbia,DC,
Delaware State University,Delaware,
Bethune Cookman University,Florida,
Edward Waters College,Florida,
Florida A&M University,Florida,
Florida Memorial University,Florida,
Albany State University,Georgia,
Atlanta University Center,Georgia,
Clark Atlanta University,Georgia,
Interdenominational Theological Center,Georgia,
Morehouse College,Georgia,
Morehouse School of Medicine,Georgia,
Savannah State University,Georgia,
Spelman College,Georgia,
Kentucky State University,Kentucky,
Simmons College of Kentucky,Kentucky,
Dillard University,Louisiana,
Grambling State University,Louisiana,
Southern University and A&M College,Louisiana,
Southern University at Shreveport,Louisiana,
Southern University New Orleans,Louisiana,
Xavier University of Louisiana,Louisiana,
Bowie State University,Maryland,
Morgan State University,Maryland,
University of Maryland Eastern Shore,Maryland,
Alcorn State University,Mississippi,
Coahoma Community College,Mississippi,
Hinds Community College-Utica Campus,Mississippi,
Jackson State University,Mississippi,
Mississippi Valley State University,Mississippi,
Tougaloo College,Mississippi,
Harris-Stowe State University,Missouri,
Lincoln University (MO),Missouri,
Bennett College,North Carolina,
Elizabeth City State University,North Carolina,
Fayetteville State University,North Carolina,
Johnson C. Smith University,North Carolina,
Livingstone College,North Carolina,
North Carolina A&T State University,North Carolina,
North Carolina Central University,North Carolina,
Saint Augustineâ€™s University,North Carolina,
Shaw University,North Carolina,
Winston-Salem State University,North Carolina,
Central State University,Ohio,
Wilberforce University,Ohio,
Cheyney University of Pennsylvania,Pennsylvania,
Lincoln University (PA),Pennsylvania,
Brown University,Rhode Island,
Allen University,South Carolina,
Benedict College,South Carolina,
Claflin University,South Carolina,
Clinton College,South Carolina,
Denmark Technical College,South Carolina,
Morris College,South Carolina,
South Carolina State University,South Carolina,
Voorhees College,South Carolina,
American Baptist College,Tennessee,
Fisk University,Tennessee,
Lane College,Tennessee,
LeMoyne-Owen College,Tennessee,
Meharry Medical College,Tennessee,
Tennessee State University,Tennessee,
Huston-Tillotson University,Texas,
Jarvis Christian University,Texas,
Prairie View A&M University,Texas,
St. Philip's College,Texas,
Texas College,Texas,
Texas Southern University,Texas,
Wiley College,Texas,
University of the Virgin Islands,Virgin Islands,
Hampton University,Virginia,
Norfolk State University,Virginia,
Virginia State University,Virginia,
Virginia Union University,Virginia,
Bluefield State University,West Virginia,
West Virginia State University,West Virginia,
